country,n,total_exposed,total_dead,total_displaced,exposed_per_flood,dead_per_flood,displaced_per_flood,oecd
Afghanistan,44,186729.65,90.9,5500,4243.86,2.07,125,0
Albania,35,185425.71,9.02,3819.5,5297.88,0.26,109.13,0
Algeria,31,214938.26,22.59,740,6933.49,0.73,23.87,0
Andorra,9,19442.93,0.41,870,2160.33,0.05,96.67,0
Angola,20,63711.69,6.07,6976.3,3185.58,0.3,348.82,0
Antigua and Barbuda,2,636.11,0,0,318.06,0,0,0
Argentina,49,387506.32,80.51,389641.81,7908.29,1.64,7951.87,0
Armenia,5,2297.91,0,0,459.58,0,0,0
Australia,49,180162.07,45,74130,3676.78,0.92,1512.86,1
Austria,39,84142.06,1.95,7992.8,2157.49,0.05,204.94,1
Azerbaijan,5,25611.26,36.27,62060,5122.25,7.25,12412,0
Bahamas. The,16,2932.74,2.26,1252,183.3,0.14,78.25,0
Bahrain,5,55.61,0,0,11.12,0,0,0
Bangladesh,133,202970482.3,9033.4,72782902.5,1526093.85,67.92,547239.87,0
Barbados,1,0,0,0,0,0,0,0
Belgium,4,124988.58,0.21,45,31247.14,0.05,11.25,1
Belize,14,24494.96,113.05,72360,1749.64,8.07,5168.57,0
Benin,18,200718.13,94.5,75491,11151.01,5.25,4193.94,0
Bermuda,1,0,0,0,0,0,0,0
Bhutan,117,94831.25,0,3,810.52,0,0.03,0
Bolivia,44,341875.63,136.29,248629.4,7769.9,3.1,5650.67,0
Bosnia and Herzegovina,40,66403.46,0.65,495.5,1660.09,0.02,12.39,0
Botswana,25,9602.05,0.3,2110,384.08,0.01,84.4,0
Brazil,87,658604.22,214.18,710527.54,7570.16,2.46,8166.98,0
Brunei,5,745.32,0.04,600,149.06,0.01,120,0
Bulgaria,35,245865.4,20.78,7461.47,7024.73,0.59,213.18,0
Burkina Faso,16,36204.2,10.46,26352,2262.76,0.65,1647,0
Burundi,19,4515.89,0.7,5203.6,237.68,0.04,273.87,0
Byelarus,13,219760.86,0.1,124.33,16904.68,0.01,9.56,0
Cambodia,60,16411842.44,906.37,2000087.98,273530.71,15.11,33334.8,0
Cameroon,24,600440.25,58.91,126016.96,25018.34,2.45,5250.71,0
Canada,60,443927.03,22.35,62395.8,7398.78,0.37,1039.93,1
Central African Republic,26,45230.32,1.8,23990,1739.63,0.07,922.69,0
Chad,25,744316.03,58.16,211650.14,29772.64,2.33,8466.01,0
Chile,46,21079.21,2.75,10000,458.24,0.06,217.39,1
China,232,97446784.44,4650.28,19428454.7,420029.24,20.04,83743.34,0
Colombia,43,1553662.16,998.48,1134553.6,36131.68,23.22,26384.97,1
Comoros,7,0,0,0,0,0,0,0
Congo,10,14124.58,5.42,1635,1412.46,0.54,163.5,0
Costa Rica,13,6081,21.91,13400,467.77,1.69,1030.77,1
Croatia,37,69725.67,3.31,940.9,1884.48,0.09,25.43,0
Cuba,27,110810.25,87.17,22809846.2,4104.08,3.23,844809.12,0
Cyprus,11,19513.58,1.41,26,1773.96,0.13,2.36,0
